Date,Open,High,Low,Close,Adj Close,Volume
2017-12-06,72535.000000,73418.000000,71906.000000,73268.000000,73268.000000,3099300
2017-12-07,73268.000000,73268.000000,71356.000000,72487.000000,72487.000000,3260800
2017-12-08,72489.000000,73425.000000,72489.000000,72732.000000,72732.000000,3085600
2017-12-11,72775.000000,73361.000000,72498.000000,72800.000000,72800.000000,2450200
2017-12-12,72800.000000,73814.000000,71798.000000,73814.000000,73814.000000,2956100
2017-12-13,73827.000000,74622.000000,72569.000000,72914.000000,72914.000000,4494700
2017-12-14,72913.000000,72913.000000,71969.000000,72429.000000,72429.000000,3491800
2017-12-15,72428.000000,73069.000000,72277.000000,72608.000000,72608.000000,4659500
2017-12-18,72621.000000,73519.000000,72621.000000,73115.000000,73115.000000,3202900
2017-12-19,73122.000000,73139.000000,72347.000000,72680.000000,72680.000000,2351600
2017-12-20,72680.000000,73492.000000,72680.000000,73367.000000,73367.000000,2219600
2017-12-21,73367.000000,75133.000000,73265.000000,75133.000000,75133.000000,3056400
2017-12-22,75128.000000,75227.000000,74623.000000,75187.000000,75187.000000,1906900
2017-12-25,null,null,null,null,null,null
2017-12-26,75187.000000,75758.000000,74924.000000,75688.000000,75688.000000,1579700
2017-12-27,75708.000000,76293.000000,75708.000000,76073.000000,76073.000000,1792200
2017-12-28,76077.000000,76437.000000,76077.000000,76402.000000,76402.000000,2083000
2017-12-29,76077.000000,76437.000000,76077.000000,76402.000000,76402.000000,0
2018-01-02,76403.000000,77909.000000,76403.000000,77891.000000,77891.000000,2880300
2018-01-03,77889.000000,78414.000000,77602.000000,77995.000000,77995.000000,3142200
2018-01-04,77998.000000,79135.000000,77998.000000,78647.000000,78647.000000,3486100
2018-01-05,78644.000000,79071.000000,78218.000000,79071.000000,79071.000000,2747100
2018-01-08,79070.000000,79395.000000,78631.000000,79379.000000,79379.000000,2550800
2018-01-09,79379.000000,79415.000000,78699.000000,78864.000000,78864.000000,3458600
2018-01-10,78864.000000,78864.000000,78164.000000,78201.000000,78201.000000,2759900
2018-01-11,78201.000000,79365.000000,78201.000000,79365.000000,79365.000000,3409400
2018-01-12,79365.000000,79440.000000,78861.000000,79349.000000,79349.000000,3577800
2018-01-15,79349.000000,79847.000000,79349.000000,79752.000000,79752.000000,1941000
2018-01-16,79751.000000,80246.000000,79668.000000,79832.000000,79832.000000,2982500
2018-01-17,79832.000000,81189.000000,79828.000000,81189.000000,81189.000000,3341200
2018-01-18,81185.000000,81367.000000,80498.000000,80963.000000,80963.000000,3429600
2018-01-19,80965.000000,81429.000000,80854.000000,81220.000000,81220.000000,3123200
2018-01-22,81220.000000,81675.000000,80923.000000,81675.000000,81675.000000,2693000
2018-01-23,81676.000000,81676.000000,80524.000000,80678.000000,80678.000000,3711200
2018-01-24,80679.000000,83680.000000,80679.000000,83680.000000,83680.000000,5503700
2018-01-25,80679.000000,83680.000000,80679.000000,83680.000000,83680.000000,0
2018-01-26,83680.000000,85531.000000,83680.000000,85531.000000,85531.000000,5410600
2018-01-29,85531.000000,85531.000000,84341.000000,84698.000000,84698.000000,3889600
2018-01-30,84697.000000,84697.000000,83804.000000,84482.000000,84482.000000,3566000
2018-01-31,84485.000000,86213.000000,84484.000000,84913.000000,84913.000000,4233500
2018-02-01,84913.000000,86028.000000,84833.000000,85495.000000,85495.000000,4085300
2018-02-02,85495.000000,85495.000000,83831.000000,84041.000000,84041.000000,3376900
2018-02-05,84040.000000,84311.000000,81861.000000,81861.000000,81861.000000,3253600
2018-02-06,81857.000000,84162.000000,80804.000000,83894.000000,83894.000000,5599100
2018-02-07,83894.000000,84410.000000,82548.000000,82767.000000,82767.000000,3886000
2018-02-08,82773.000000,83501.000000,81109.000000,81533.000000,81533.000000,4011400
2018-02-09,81532.000000,81897.000000,79690.000000,80899.000000,80899.000000,4283400
2018-02-14,80901.000000,83782.000000,80901.000000,83543.000000,83543.000000,3910700
2018-02-15,83551.000000,84686.000000,83551.000000,84291.000000,84291.000000,3489300
2018-02-16,84291.000000,84575.000000,83824.000000,84525.000000,84525.000000,3475800
2018-02-19,84525.000000,84956.000000,84525.000000,84793.000000,84793.000000,2088900
2018-02-20,84792.000000,86290.000000,84261.000000,85804.000000,85804.000000,4078100
2018-02-21,85804.000000,87358.000000,85804.000000,86052.000000,86052.000000,4815500
2018-02-22,86050.000000,87159.000000,86050.000000,86686.000000,86686.000000,3535700
2018-02-23,86690.000000,87345.000000,86138.000000,87293.000000,87293.000000,4178600
2018-02-26,87296.000000,88318.000000,87242.000000,87653.000000,87653.000000,4047100
2018-02-27,87649.000000,87839.000000,86613.000000,86935.000000,86935.000000,3534700
2018-02-28,86939.000000,87109.000000,85431.000000,85481.000000,85481.000000,5947100
2018-03-01,85337.000000,86260.000000,84640.000000,85378.000000,85378.000000,4341300
2018-03-02,85378.000000,85761.000000,83897.000000,85761.000000,85761.000000,3884300
2018-03-05,85292.000000,86165.000000,85053.000000,86023.000000,86023.000000,3425200
2018-03-06,86023.000000,86931.000000,85653.000000,85653.000000,85653.000000,3608600
2018-03-07,85653.000000,85653.000000,84397.000000,85484.000000,85484.000000,3456800
2018-03-08,85510.000000,85830.000000,84491.000000,84985.000000,84985.000000,3694700
2018-03-09,84987.000000,86389.000000,84749.000000,86371.000000,86371.000000,3481500
2018-03-12,86386.000000,87046.000000,86386.000000,86900.000000,86900.000000,2602900
2018-03-13,86902.000000,87333.000000,86119.000000,86384.000000,86384.000000,2735800
2018-03-14,86383.000000,86970.000000,85691.000000,86051.000000,86051.000000,2561000
2018-03-15,86051.000000,86051.000000,84720.000000,84928.000000,84928.000000,3840100
2018-03-16,84928.000000,85495.000000,84525.000000,84886.000000,84886.000000,5446200
2018-03-19,84886.000000,84886.000000,83678.000000,83913.000000,83913.000000,3330600
2018-03-20,83919.000000,84412.000000,83682.000000,84164.000000,84164.000000,2682000
2018-03-21,84166.000000,85145.000000,84080.000000,84977.000000,84977.000000,3260900
2018-03-22,84984.000000,85499.000000,84197.000000,84768.000000,84768.000000,3241700
2018-03-23,84766.000000,85450.000000,84042.000000,84377.000000,84377.000000,3176900
2018-03-26,84377.000000,85553.000000,84357.000000,85088.000000,85088.000000,2355600
2018-03-27,85103.000000,85296.000000,83542.000000,83808.000000,83808.000000,2948400
2018-03-28,83806.000000,83889.000000,82889.000000,83874.000000,83874.000000,2911400
2018-03-29,83874.000000,85708.000000,83874.000000,85366.000000,85366.000000,3150300
2018-04-02,85365.000000,85675.000000,84166.000000,84666.000000,84666.000000,2598500
2018-04-03,84669.000000,85411.000000,84210.000000,84623.000000,84623.000000,2579000
2018-04-04,84610.000000,84610.000000,82826.000000,84360.000000,84360.000000,2948300
2018-04-05,84374.000000,86148.000000,84374.000000,85210.000000,85210.000000,4257700
2018-04-06,85210.000000,85210.000000,83833.000000,84820.000000,84820.000000,3069100
2018-04-09,84832.000000,85110.000000,83155.000000,83307.000000,83307.000000,3174800
2018-04-10,83312.000000,84538.000000,83312.000000,84510.000000,84510.000000,3518700
2018-04-11,84494.000000,85417.000000,84340.000000,85246.000000,85246.000000,3370600
2018-04-12,85246.000000,85577.000000,85025.000000,85444.000000,85444.000000,2837000
2018-04-13,85441.000000,85441.000000,84144.000000,84334.000000,84334.000000,3504200
2018-04-16,84328.000000,84591.000000,82762.000000,82862.000000,82862.000000,2913400
2018-04-17,82862.000000,84191.000000,82810.000000,84086.000000,84086.000000,2628600
2018-04-18,84090.000000,86149.000000,84090.000000,85776.000000,85776.000000,4196900
2018-04-19,85775.000000,86059.000000,85197.000000,85824.000000,85824.000000,3522500
2018-04-20,85823.000000,85823.000000,85025.000000,85550.000000,85550.000000,2990100
2018-04-23,85520.000000,85746.000000,84711.000000,85602.000000,85602.000000,2426000
2018-04-24,85603.000000,86578.000000,85106.000000,85469.000000,85469.000000,2845000
2018-04-25,85466.000000,85466.000000,84349.000000,85044.000000,85044.000000,3218400
2018-04-26,85051.000000,86383.000000,85051.000000,86383.000000,86383.000000,3138000
2018-04-27,86383.000000,87179.000000,86262.000000,86445.000000,86445.000000,0
2018-04-30,86443.000000,86739.000000,85979.000000,86115.000000,86115.000000,2181000
2018-05-02,86111.000000,86111.000000,84383.000000,84547.000000,84547.000000,3720600
2018-05-03,84547.000000,84562.000000,83178.000000,83288.000000,83288.000000,3977800
2018-05-04,83286.000000,83671.000000,82746.000000,83118.000000,83118.000000,3472900
2018-05-07,83199.000000,83643.000000,82602.000000,82714.000000,82714.000000,2843000
2018-05-08,82715.000000,83409.000000,82201.000000,82956.000000,82956.000000,3949500
2018-05-09,82977.000000,84447.000000,82855.000000,84265.000000,84265.000000,4695400
2018-05-10,84284.000000,86201.000000,84284.000000,85861.000000,85861.000000,4611100
2018-05-11,85861.000000,86406.000000,85183.000000,85220.000000,85220.000000,4379700
